Lane,Sample,Index
7,TB7217GEX1,SI-TT-G4
7,TB7217GEX2,SI-TT-G5
7,TB7221GEX1,SI-TT-G6
7,TB7221GEX2,SI-TT-G7
7,TB7223GEX1,SI-TT-G8
7,TB7232GEX1,SI-TT-G9
7,TB7250GEX1,SI-TT-C1
7,TB7250GEX2,SI-TT-C2
7,TB7265GEX1,SI-TT-C3
7,TB7265GEX2,SI-TT-C4
7,TB7217HTO1,SI-NT-B4
7,TB7217HTO2,SI-NT-B5
7,TB7221HTO1,SI-NT-B6
7,TB7221HTO2,SI-NT-B7
7,TB7223HTO1,SI-NT-B8
7,TB7232HTO1,SI-NT-B9
7,TB7250HTO1,SI-NT-B10
7,TB7250HTO2,SI-NT-B11
7,TB7265HTO1,SI-NT-B12
7,TB7265HTO2,SI-NT-C1
8,PDC138GEX01,SI-TT-E1
8,PDC138GEX02,SI-TT-E2
8,PDC137BCR01,SI-TT-E3
8,PDC137BCR02,SI-TT-E4
8,PDC137ADT01,SI-TN-B2
8,PDC137ADT02,SI-TN-B3
